DATETIME,ISIN,PRICE
'2022-08-29','AU0000083768',98.53
'2022-09-05','AU0000083768',97.94
'2022-09-12','AU0000083768',97.87
'2022-09-19','AU0000083768',98.17
'2022-09-26','AU0000083768',98.03
'2022-10-03','AU0000083768',98.12
'2022-10-10','AU0000083768',98.19
'2022-10-17','AU0000083768',97.87
'2022-10-24','AU0000083768',97.95
'2022-10-31','AU0000083768',107.987
'2022-11-07','AU0000083768',98.32
'2022-11-14','AU0000083768',98.05
'2022-11-21','AU0000083768',97.96
'2022-11-28','AU0000083768',98.47
'2022-12-05','AU0000083768',98.09
'2022-12-12','AU0000083768',98.31
'2022-12-19','AU0000083768',98.06
'2022-12-27','AU0000083768',98.11
'2023-01-02','AU0000083768',98.33
'2023-01-09','AU0000083768',98.06
'2023-01-16','AU0000083768',98.07
'2023-01-23','AU0000083768',98.01
'2023-01-30','AU0000083768',98.01
'2023-02-06','AU0000083768',98.16
'2023-02-13','AU0000083768',98.32
'2023-02-20','AU0000083768',98.32
'2023-02-27','AU0000083768',97.96
'2023-03-06','AU0000083768',98.23
'2023-03-13','AU0000083768',97.78
'2023-03-20','AU0000083768',98.05
'2023-03-27','AU0000083768',97.98
'2023-04-03','AU0000083768',98.2
'2023-04-11','AU0000083768',98.32
'2023-04-17','AU0000083768',98.42
'2023-04-24','AU0000083768',98.3
'2023-05-01','AU0000083768',98.05
'2023-05-08','AU0000083768',98.24
'2023-05-15','AU0000083768',98.12
'2023-05-22','AU0000083768',97.96
'2023-05-29','AU0000083768',98.21
'2023-06-05','AU0000083768',98.01
'2023-06-13','AU0000083768',98.18
'2023-06-19','AU0000083768',97.82
'2023-06-26','AU0000083768',98.03
'2023-07-03','AU0000083768',98.08
'2023-07-10','AU0000083768',97.8
'2023-07-17','AU0000083768',97.98
'2023-07-24','AU0000083768',98.11
'2023-07-31','AU0000083768',98.15
'2023-08-07','AU0000083768',97.94
'2023-08-14','AU0000083768',98.47
'2023-08-21','AU0000083768',98.07
'2023-08-28','AU0000083768',98.22
'2023-08-31','AU0000083768',98.27
'2018-10-08','AU000XCLWAV1',119.25
'2018-10-15','AU000XCLWAV1',119.19
'2018-10-22','AU000XCLWAV1',119.11
'2018-10-29','AU000XCLWAV1',119.29
'2018-11-05','AU000XCLWAV1',119.25
'2018-11-12','AU000XCLWAV1',119.21
'2018-11-19','AU000XCLWAV1',119.26
'2018-11-26','AU000XCLWAV1',119.33
'2018-12-03','AU000XCLWAV1',119.13
'2018-12-10','AU000XCLWAV1',119.16
'2018-12-17','AU000XCLWAV1',119.29
'2018-12-24','AU000XCLWAV1',119.29
'2018-12-31','AU000XCLWAV1',119.3
'2019-01-07','AU000XCLWAV1',119.42
'2019-01-14','AU000XCLWAV1',119.17
'2019-01-21','AU000XCLWAV1',119.39
'2019-01-28','AU000XCLWAV1',119.27
'2019-02-04','AU000XCLWAV1',119.34
'2019-02-11','AU000XCLWAV1',119.05
'2019-02-18','AU000XCLWAV1',119.26
'2019-02-25','AU000XCLWAV1',119.37
'2019-03-04','AU000XCLWAV1',119.24
'2019-03-11','AU000XCLWAV1',119.42
'2019-03-18','AU000XCLWAV1',119.18
'2019-03-25','AU000XCLWAV1',119.26
'2019-04-01','AU000XCLWAV1',119.2
'2019-04-08','AU000XCLWAV1',119.34
'2019-04-15','AU000XCLWAV1',119.33
'2019-04-23','AU000XCLWAV1',119.44
'2019-04-29','AU000XCLWAV1',119.21
'2019-05-06','AU000XCLWAV1',119.17
'2019-05-13','AU000XCLWAV1',119.22
'2019-05-20','AU000XCLWAV1',119.21
'2019-05-27','AU000XCLWAV1',119.43
'2019-06-03','AU000XCLWAV1',119.24
'2019-06-10','AU000XCLWAV1',119.29
'2019-06-17','AU000XCLWAV1',119.32
'2019-06-24','AU000XCLWAV1',119.21
'2019-07-01','AU000XCLWAV1',119.4
'2019-07-08','AU000XCLWAV1',119.28
'2019-07-15','AU000XCLWAV1',119.34
'2019-07-22','AU000XCLWAV1',119.35
'2019-07-29','AU000XCLWAV1',119.17
'2019-08-05','AU000XCLWAV1',119.21
'2019-08-12','AU000XCLWAV1',119.2
'2019-08-19','AU000XCLWAV1',119.31
'2019-08-26','AU000XCLWAV1',119.38
'2019-09-02','AU000XCLWAV1',119.39
'2019-09-09','AU000XCLWAV1',119.34
'2019-09-16','AU000XCLWAV1',119.25
'2019-09-23','AU000XCLWAV1',119.21
'2019-09-30','AU000XCLWAV1',119.24
'2019-10-07','AU000XCLWAV1',119.08
'2019-10-14','AU000XCLWAV1',119.07
'2019-10-21','AU000XCLWAV1',119.49
'2019-10-28','AU000XCLWAV1',119.27
'2019-11-04','AU000XCLWAV1',119.37
'2019-11-11','AU000XCLWAV1',119.06
'2019-11-18','AU000XCLWAV1',119.19
'2019-11-25','AU000XCLWAV1',119.27
'2019-12-02','AU000XCLWAV1',119.12
'2019-12-09','AU000XCLWAV1',119.14
'2019-12-16','AU000XCLWAV1',119.39
'2019-12-23','AU000XCLWAV1',119.26
'2019-12-30','AU000XCLWAV1',119.36
'2020-01-06','AU000XCLWAV1',119.17
'2020-01-13','AU000XCLWAV1',119.09
'2020-01-20','AU000XCLWAV1',119.15
'2020-01-27','AU000XCLWAV1',119.24
'2020-02-03','AU000XCLWAV1',119.29
'2020-02-10','AU000XCLWAV1',119.26
'2020-02-17','AU000XCLWAV1',119.29
'2020-02-24','AU000XCLWAV1',119.28
'2020-03-02','AU000XCLWAV1',119.38
'2020-03-09','AU000XCLWAV1',119.14
'2020-03-16','AU000XCLWAV1',119.19
'2020-03-23','AU000XCLWAV1',119.34
'2020-03-30','AU000XCLWAV1',119.38
'2020-04-06','AU000XCLWAV1',119.41
'2020-04-13','AU000XCLWAV1',119.02
'2020-04-20','AU000XCLWAV1',119.39
'2020-04-27','AU000XCLWAV1',119.29
'2020-05-04','AU000XCLWAV1',119.29
'2020-05-11','AU000XCLWAV1',119.21
'2020-05-18','AU000XCLWAV1',119.24
'2020-05-25','AU000XCLWAV1',119.22
'2020-06-01','AU000XCLWAV1',119.29
'2020-06-08','AU000XCLWAV1',119.26
'2020-06-15','AU000XCLWAV1',119.25
'2020-06-22','AU000XCLWAV1',119.22
'2020-06-29','AU000XCLWAV1',119.24
'2020-07-06','AU000XCLWAV1',119.22
'2020-07-13','AU000XCLWAV1',119.28
'2020-07-20','AU000XCLWAV1',119.23
'2020-07-27','AU000XCLWAV1',119.24
'2020-08-03','AU000XCLWAV1',119.21
'2020-08-10','AU000XCLWAV1',119.24
'2020-08-17','AU000XCLWAV1',119.23
'2020-08-24','AU000XCLWAV1',119.24
'2020-08-31','AU000XCLWAV1',119.26
'2020-09-07','AU000XCLWAV1',119.26
'2020-09-14','AU000XCLWAV1',119.19
'2020-09-21','AU000XCLWAV1',119.26
'2020-09-28','AU000XCLWAV1',119.21
'2020-10-05','AU000XCLWAV1',119.26
'2020-10-12','AU000XCLWAV1',119.28
'2020-10-19','AU000XCLWAV1',119.17
'2020-10-26','AU000XCLWAV1',119.3
'2020-11-02','AU000XCLWAV1',119.25
'2020-11-09','AU000XCLWAV1',119.28
'2020-11-16','AU000XCLWAV1',119.28
'2020-11-23','AU000XCLWAV1',119.22
'2020-11-30','AU000XCLWAV1',119.26
'2020-12-07','AU000XCLWAV1',119.26
'2020-12-14','AU000XCLWAV1',119.19
'2020-12-21','AU000XCLWAV1',119.25
'2020-12-29','AU000XCLWAV1',119.23
'2021-01-04','AU000XCLWAV1',119.19
'2021-01-11','AU000XCLWAV1',119.23
'2021-01-18','AU000XCLWAV1',119.2
'2021-01-25','AU000XCLWAV1',119.27
'2021-02-01','AU000XCLWAV1',119.26
'2021-02-08','AU000XCLWAV1',119.12
'2021-02-15','AU000XCLWAV1',119.27
'2021-02-22','AU000XCLWAV1',119.23
'2021-03-01','AU000XCLWAV1',119.24
'2021-03-08','AU000XCLWAV1',119.21
'2021-03-15','AU000XCLWAV1',119.23
'2021-03-22','AU000XCLWAV1',119.12
'2021-03-29','AU000XCLWAV1',118.9
'2021-04-05','AU000XCLWAV1',119.22
'2021-04-12','AU000XCLWAV1',119.4
'2021-04-19','AU000XCLWAV1',119.15
'2021-04-26','AU000XCLWAV1',119.33
'2021-05-03','AU000XCLWAV1',119.21
'2021-05-10','AU000XCLWAV1',119.31
'2021-05-17','AU000XCLWAV1',119.2
'2021-05-24','AU000XCLWAV1',119.2
'2021-05-31','AU000XCLWAV1',119.27
'2021-06-07','AU000XCLWAV1',119.28
'2021-06-14','AU000XCLWAV1',119.0
'2021-06-21','AU000XCLWAV1',119.28
'2021-06-28','AU000XCLWAV1',119.25
'2021-07-05','AU000XCLWAV1',119.26
'2021-07-12','AU000XCLWAV1',119.36
'2021-07-19','AU000XCLWAV1',119.03
'2021-07-26','AU000XCLWAV1',119.25
'2021-08-02','AU000XCLWAV1',119.3
'2021-08-09','AU000XCLWAV1',119.33
'2021-08-16','AU000XCLWAV1',119.36
'2021-08-23','AU000XCLWAV1',119.24
'2021-08-30','AU000XCLWAV1',119.28
'2021-09-06','AU000XCLWAV1',119.18
'2021-09-13','AU000XCLWAV1',119.24
'2021-09-20','AU000XCLWAV1',119.38
'2021-09-27','AU000XCLWAV1',119.13
'2021-10-04','AU000XCLWAV1',119.19
'2021-10-11','AU000XCLWAV1',119.23
'2021-10-18','AU000XCLWAV1',119.23
'2021-10-25','AU000XCLWAV1',119.15
'2021-11-01','AU000XCLWAV1',119.19
'2021-11-08','AU000XCLWAV1',119.02
'2021-11-15','AU000XCLWAV1',119.18
'2021-11-22','AU000XCLWAV1',119.04
'2021-11-29','AU000XCLWAV1',118.93
'2021-12-06','AU000XCLWAV1',119.45
'2021-12-13','AU000XCLWAV1',119.09
'2021-12-20','AU000XCLWAV1',119.26
'2021-12-28','AU000XCLWAV1',119.27
'2022-01-03','AU000XCLWAV1',119.33
'2022-01-10','AU000XCLWAV1',119.18
'2022-01-17','AU000XCLWAV1',119.2
'2022-01-24','AU000XCLWAV1',119.3
'2022-01-31','AU000XCLWAV1',119.19
'2022-02-07','AU000XCLWAV1',119.08
'2022-02-14','AU000XCLWAV1',119.13
'2022-02-21','AU000XCLWAV1',119.19
'2022-02-28','AU000XCLWAV1',119.21
'2022-03-07','AU000XCLWAV1',119.1
'2022-03-14','AU000XCLWAV1',119.08
'2022-03-21','AU000XCLWAV1',119.18
'2022-03-28','AU000XCLWAV1',119.17
'2022-04-04','AU000XCLWAV1',119.38
'2022-04-11','AU000XCLWAV1',118.94
'2022-04-19','AU000XCLWAV1',119.08
'2022-04-26','AU000XCLWAV1',118.94
'2022-05-02','AU000XCLWAV1',119.07
'2022-05-09','AU000XCLWAV1',119.07
'2022-05-16','AU000XCLWAV1',119.4
'2022-05-23','AU000XCLWAV1',118.9
'2022-05-30','AU000XCLWAV1',119.23
'2022-06-06','AU000XCLWAV1',118.9
'2022-06-14','AU000XCLWAV1',119.38
'2022-06-20','AU000XCLWAV1',119.28
'2022-06-27','AU000XCLWAV1',119.27
'2022-07-04','AU000XCLWAV1',118.97
'2022-07-11','AU000XCLWAV1',119.07
'2022-07-18','AU000XCLWAV1',118.7
'2022-07-25','AU000XCLWAV1',119.7
'2022-08-01','AU000XCLWAV1',119.48
'2022-08-08','AU000XCLWAV1',119.27
'2022-08-15','AU000XCLWAV1',119.3
'2022-08-22','AU000XCLWAV1',119.15
'2022-08-29','AU000XCLWAV1',119.76
'2022-09-05','AU000XCLWAV1',119.12
'2022-09-12','AU000XCLWAV1',118.87
'2022-09-19','AU000XCLWAV1',119.27
'2022-09-26','AU000XCLWAV1',119.06
'2022-10-03','AU000XCLWAV1',119.22
'2022-10-10','AU000XCLWAV1',119.33
'2022-10-17','AU000XCLWAV1',118.97
'2022-10-24','AU000XCLWAV1',119.0
'2022-10-31','AU000XCLWAV1',131.219
'2022-11-07','AU000XCLWAV1',119.37
'2022-11-14','AU000XCLWAV1',119.09
'2022-11-21','AU000XCLWAV1',119.05
'2022-11-28','AU000XCLWAV1',119.71
'2022-12-05','AU000XCLWAV1',119.14
'2022-12-12','AU000XCLWAV1',119.47
'2022-12-19','AU000XCLWAV1',119.18
'2022-12-27','AU000XCLWAV1',119.26
'2023-01-02','AU000XCLWAV1',119.52
'2023-01-09','AU000XCLWAV1',119.22
'2023-01-16','AU000XCLWAV1',119.12
'2023-01-23','AU000XCLWAV1',118.95
'2023-01-30','AU000XCLWAV1',119.01
'2023-02-06','AU000XCLWAV1',119.36
'2023-02-13','AU000XCLWAV1',119.55
'2023-02-20','AU000XCLWAV1',119.5
'2023-02-27','AU000XCLWAV1',119.02
'2023-03-06','AU000XCLWAV1',119.45
'2023-03-13','AU000XCLWAV1',118.78
'2023-03-20','AU000XCLWAV1',119.14
'2023-03-27','AU000XCLWAV1',119.08
'2023-04-03','AU000XCLWAV1',119.3
'2023-04-11','AU000XCLWAV1',119.55
'2023-04-17','AU000XCLWAV1',119.55
'2023-04-24','AU000XCLWAV1',119.45
'2023-05-01','AU000XCLWAV1',119.22
'2023-05-08','AU000XCLWAV1',119.32
'2023-05-15','AU000XCLWAV1',119.04
'2023-05-22','AU000XCLWAV1',119.04
'2023-05-29','AU000XCLWAV1',119.48
'2023-06-05','AU000XCLWAV1',119.09
'2023-06-13','AU000XCLWAV1',119.34
'2023-06-19','AU000XCLWAV1',118.91
'2023-06-26','AU000XCLWAV1',119.09
'2023-07-03','AU000XCLWAV1',119.26
'2023-07-10','AU000XCLWAV1',118.82
'2023-07-17','AU000XCLWAV1',119.09
'2023-07-24','AU000XCLWAV1',119.21
'2023-07-31','AU000XCLWAV1',119.26
'2023-08-07','AU000XCLWAV1',118.95
'2023-08-14','AU000XCLWAV1',119.62
'2023-08-21','AU000XCLWAV1',119.18
'2023-08-28','AU000XCLWAV1',119.28
'2023-08-31','AU000XCLWAV1',119.34
'2018-10-08','AU0000024044',133.44
'2018-10-15','AU0000024044',133.36
'2018-10-22','AU0000024044',133.32
'2018-10-29','AU0000024044',133.5
'2018-11-05','AU0000024044',133.37
'2018-11-12','AU0000024044',133.42
'2018-11-19','AU0000024044',133.52
'2018-11-26','AU0000024044',133.54
'2018-12-03','AU0000024044',133.29
'2018-12-10','AU0000024044',133.34
'2018-12-17','AU0000024044',133.53
'2018-12-24','AU0000024044',133.49
'2018-12-31','AU0000024044',133.51
'2019-01-07','AU0000024044',133.65
'2019-01-14','AU0000024044',133.39
'2019-01-21','AU0000024044',133.61
'2019-01-28','AU0000024044',133.48
'2019-02-04','AU0000024044',133.56
'2019-02-11','AU0000024044',133.29
'2019-02-18','AU0000024044',133.43
'2019-02-25','AU0000024044',133.6
'2019-03-04','AU0000024044',133.41
'2019-03-11','AU0000024044',133.55
'2019-03-18','AU0000024044',133.42
'2019-03-25','AU0000024044',133.49
'2019-04-01','AU0000024044',133.35
'2019-04-08','AU0000024044',133.57
'2019-04-15','AU0000024044',133.44
'2019-04-23','AU0000024044',133.7
'2019-04-29','AU0000024044',133.43
'2019-05-06','AU0000024044',133.29
'2019-05-13','AU0000024044',133.45
'2019-05-20','AU0000024044',133.39
'2019-05-27','AU0000024044',133.62
'2019-06-03','AU0000024044',133.45
'2019-06-10','AU0000024044',133.44
'2019-06-17','AU0000024044',133.56
'2019-06-24','AU0000024044',133.6
'2019-07-01','AU0000024044',133.51
'2019-07-08','AU0000024044',133.47
'2019-07-15','AU0000024044',133.56
'2019-07-22','AU0000024044',133.59
'2019-07-29','AU0000024044',133.39
'2019-08-05','AU0000024044',133.37
'2019-08-12','AU0000024044',133.3
'2019-08-19','AU0000024044',133.58
'2019-08-26','AU0000024044',133.59
'2019-09-02','AU0000024044',133.64
'2019-09-09','AU0000024044',133.55
'2019-09-16','AU0000024044',133.67
'2019-09-23','AU0000024044',133.38
'2019-09-30','AU0000024044',133.45
'2019-10-07','AU0000024044',133.25
'2019-10-14','AU0000024044',133.21
'2019-10-21','AU0000024044',133.75
'2019-10-28','AU0000024044',133.45
'2019-11-04','AU0000024044',133.55
'2019-11-11','AU0000024044',133.21
'2019-11-18','AU0000024044',133.4
'2019-11-25','AU0000024044',133.49
'2019-12-02','AU0000024044',133.34
'2019-12-09','AU0000024044',133.2
'2019-12-16','AU0000024044',133.6
'2019-12-23','AU0000024044',133.57
'2019-12-30','AU0000024044',133.49
'2020-01-06','AU0000024044',133.32
'2020-01-13','AU0000024044',133.26
'2020-01-20','AU0000024044',133.37
'2020-01-27','AU0000024044',133.47
'2020-02-03','AU0000024044',133.48
'2020-02-10','AU0000024044',133.44
'2020-02-17','AU0000024044',133.54
'2020-02-24','AU0000024044',133.57
'2020-03-02','AU0000024044',133.6
'2020-03-09','AU0000024044',133.33
'2020-03-16','AU0000024044',133.43
'2020-03-23','AU0000024044',133.59
'2020-03-30','AU0000024044',133.72
'2020-04-06','AU0000024044',133.45
'2020-04-13','AU0000024044',132.9
'2020-04-20','AU0000024044',133.05
'2020-04-27','AU0000024044',133.71
'2020-05-04','AU0000024044',133.75
'2020-05-11','AU0000024044',133.18
'2020-05-18','AU0000024044',133.53
'2020-05-25','AU0000024044',133.5
'2020-06-01','AU0000024044',133.47
'2020-06-08','AU0000024044',133.29
'2020-06-15','AU0000024044',133.52
'2020-06-22','AU0000024044',133.47
'2020-06-29','AU0000024044',133.4
'2020-07-06','AU0000024044',133.11
'2020-07-13','AU0000024044',133.76
'2020-07-20','AU0000024044',133.44
'2020-07-27','AU0000024044',133.47
'2020-08-03','AU0000024044',133.26
'2020-08-10','AU0000024044',133.47
'2020-08-17','AU0000024044',133.4
'2020-08-24','AU0000024044',133.53
'2020-08-31','AU0000024044',133.55
'2020-09-07','AU0000024044',133.45
'2020-09-14','AU0000024044',133.17
'2020-09-21','AU0000024044',133.57
'2020-09-28','AU0000024044',133.28
'2020-10-05','AU0000024044',133.56
'2020-10-12','AU0000024044',133.39
'2020-10-19','AU0000024044',133.46
'2020-10-26','AU0000024044',133.53
'2020-11-02','AU0000024044',133.39
'2020-11-09','AU0000024044',133.43
'2020-11-16','AU0000024044',133.56
'2020-11-23','AU0000024044',133.29
'2020-11-30','AU0000024044',133.47
'2020-12-07','AU0000024044',133.53
'2020-12-14','AU0000024044',133.24
'2020-12-21','AU0000024044',133.48
'2020-12-29','AU0000024044',133.38
'2021-01-04','AU0000024044',133.26
'2021-01-11','AU0000024044',133.51
'2021-01-18','AU0000024044',133.43
'2021-01-25','AU0000024044',133.42
'2021-02-01','AU0000024044',133.47
'2021-02-08','AU0000024044',133.17
'2021-02-15','AU0000024044',133.53
'2021-02-22','AU0000024044',133.38
'2021-03-01','AU0000024044',133.4
'2021-03-08','AU0000024044',133.4
'2021-03-15','AU0000024044',133.35
'2021-03-22','AU0000024044',133.3
'2021-03-29','AU0000024044',132.84
'2021-04-05','AU0000024044',133.52
'2021-04-12','AU0000024044',133.61
'2021-04-19','AU0000024044',133.25
'2021-04-26','AU0000024044',133.64
'2021-05-03','AU0000024044',133.38
'2021-05-10','AU0000024044',133.51
'2021-05-17','AU0000024044',133.42
'2021-05-24','AU0000024044',133.44
'2021-05-31','AU0000024044',133.42
'2021-06-07','AU0000024044',133.51
'2021-06-14','AU0000024044',133.34
'2021-06-21','AU0000024044',133.51
'2021-06-28','AU0000024044',133.48
'2021-07-05','AU0000024044',133.52
'2021-07-12','AU0000024044',133.62
'2021-07-19','AU0000024044',133.51
'2021-07-26','AU0000024044',133.41
'2021-08-02','AU0000024044',133.61
'2021-08-09','AU0000024044',133.53
'2021-08-16','AU0000024044',133.66
'2021-08-23','AU0000024044',133.35
'2021-08-30','AU0000024044',133.46
'2021-09-06','AU0000024044',133.42
'2021-09-13','AU0000024044',133.42
'2021-09-20','AU0000024044',133.63
'2021-09-27','AU0000024044',133.31
'2021-10-04','AU0000024044',133.34
'2021-10-11','AU0000024044',133.42
'2021-10-18','AU0000024044',133.36
'2021-10-25','AU0000024044',133.34
'2021-11-01','AU0000024044',133.34
'2021-11-08','AU0000024044',133.22
'2021-11-15','AU0000024044',133.45
'2021-11-22','AU0000024044',133.37
'2021-11-29','AU0000024044',133.4
'2021-12-06','AU0000024044',133.61
'2021-12-13','AU0000024044',133.49
